transaction_date,owner,ticker,asset_type,amount,senator
03/04/2020,Joint,--,Stock,"$1,001 - $15,000",Sheldon Whitehouse
03/04/2020,Self,--,Stock,"$1,001 - $15,000",Sheldon Whitehouse
03/11/2020,Self,ILMN,Stock,"$1,001 - $15,000",Sheldon Whitehouse
03/11/2020,Self,CGNX,Stock,"$15,001 - $50,000",Sheldon Whitehouse
03/11/2020,Self,SIEGY,Stock,"$15,001 - $50,000",Sheldon Whitehouse
02/27/2020,Joint,WCMIX,Other Securities,"$50,001 - $100,000",Daniel S Sullivan
02/27/2020,Joint,RPM,Stock,"$50,001 - $100,000",Daniel S Sullivan
03/20/2020,Self,BAM,Stock,"$1,001 - $15,000",James M Inhofe
03/09/2020,Self,C,Stock,"$50,001 - $100,000",James M Inhofe
03/25/2020,Self,--,Other Securities,"$1,001 - $15,000",Mark R Warner
03/09/2020,Self,--,Other Securities,"$250,001 - $500,000",Mark R Warner
03/31/2020,Joint,MU,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/31/2020,Joint,MRK,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/23/2020,Joint,NWS,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/02/2020,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/02/2020,Joint,KR,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/02/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/02/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/02/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/02/2020,Joint,BAC,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/03/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/03/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/04/2020,Joint,BAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/04/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/04/2020,Joint,URBN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/04/2020,Joint,URBN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/04/2020,Joint,URBN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/04/2020,Joint,GM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/04/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/05/2020,Joint,URBN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/05/2020,Joint,KR,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/05/2020,Joint,BRK-B,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/05/2020,Joint,BRK-B,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/05/2020,Joint,URBN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/05/2020,Joint,--,Municipal Security,"$250,001 - $500,000","David A Perdue , Jr"
03/06/2020,Joint,BRK-B,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/06/2020,Joint,BAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/06/2020,Joint,BRK-B,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/06/2020,Joint,--,Municipal Security,"$100,001 - $250,000","David A Perdue , Jr"
03/09/2020,Joint,BRK-B,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/10/2020,Joint,MSM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/10/2020,Joint,M,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/10/2020,Joint,NWSA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/10/2020,Joint,FOXA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/10/2020,Joint,EAF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/11/2020,Joint,GEL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2020,Joint,ENB,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2020,Joint,TRP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2020,Joint,ENB,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2020,Joint,TRP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,AXTA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,KR,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/16/2020,Joint,RF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,FOX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,LYV,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/16/2020,Joint,HUN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,UHAL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,LYV,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,AXTA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,PG,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/17/2020,Joint,PEP,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/17/2020,Joint,NWSA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,FHB,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,CTSH,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,SYY,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,MSM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,WFC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/17/2020,Joint,HUN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,GM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,LYV,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,BAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,UHAL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2020,Joint,CDLX,Stock,"$100,001 - $250,000","David A Perdue , Jr"
03/18/2020,Joint,CDLX,Stock,"$100,001 - $250,000","David A Perdue , Jr"
03/18/2020,Joint,LYV,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/19/2020,Joint,SBUX,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/19/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/19/2020,Joint,GOOG,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/19/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/19/2020,Joint,CLX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,SYY,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,PAGP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,MSM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,NWSA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,PAGP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,KR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/20/2020,Joint,M,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/23/2020,Joint,BAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/23/2020,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/23/2020,Joint,SBUX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/23/2020,Joint,BAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/23/2020,Joint,SBUX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/23/2020,Joint,RL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/24/2020,Joint,SBUX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/24/2020,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/25/2020,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/26/2020,Joint,DOW,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/26/2020,Joint,NFLX,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/26/2020,Joint,TRP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/26/2020,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/26/2020,Joint,WMB,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/26/2020,Joint,LNG,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/27/2020,Joint,ORCL,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/27/2020,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/27/2020,Joint,VIAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/27/2020,Joint,MU,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/27/2020,Joint,GPK,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/27/2020,Joint,SBUX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/27/2020,Joint,MU,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/30/2020,Joint,GPK,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/30/2020,Joint,MU,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/30/2020,Joint,MU,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/02/2020,Self,--,Non-Public Stock,"$15,001 - $50,000",John Hoeven
03/24/2020,Spouse,VZ,Stock,"$1,001 - $15,000",Thomas R Carper
03/23/2020,Spouse,SPY,Other Securities,"$1,001 - $15,000",Thomas R Carper
03/23/2020,Spouse,CEF,Stock,"$1,001 - $15,000",Thomas R Carper
03/27/2020,Spouse,DIS,Stock,"$1,001 - $15,000",Thomas R Carper
03/27/2020,Spouse,SWKS,Stock,"$1,001 - $15,000",Thomas R Carper
03/27/2020,Spouse,CVS,Stock,"$1,001 - $15,000",Thomas R Carper
03/27/2020,Spouse,PYPL,Stock,"$1,001 - $15,000",Thomas R Carper
03/24/2020,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
03/24/2020,Spouse,VOD,Stock,"$1,001 - $15,000",Thomas R Carper
03/24/2020,Spouse,MPC,Stock,"$1,001 - $15,000",Thomas R Carper
03/24/2020,Spouse,WFC,Stock,"$1,001 - $15,000",Thomas R Carper
03/24/2020,Spouse,CSCO,Stock,"$1,001 - $15,000",Thomas R Carper
03/24/2020,Spouse,ABBV,Stock,"$1,001 - $15,000",Thomas R Carper
03/24/2020,Spouse,JPM,Stock,"$1,001 - $15,000",Thomas R Carper
02/21/2020,Spouse,DD,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/21/2020,Spouse,K,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/21/2020,Spouse,BABA,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/20/2020,Spouse,AIZ,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/20/2020,Spouse,ABBV,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/20/2020,Joint,DOCU,Stock,"$100,001 - $250,000",Kelly Loeffler
03/13/2020,Spouse,PRU,Stock,"$15,001 - $50,000",Kelly Loeffler
03/10/2020,Spouse,CVX,Stock,"$100,001 - $250,000",Kelly Loeffler
03/10/2020,Spouse,DD,Stock,"$1,001 - $15,000",Kelly Loeffler
03/09/2020,Spouse,AIZ,Stock Option,"$15,001 - $50,000",Kelly Loeffler
03/09/2020,Spouse,EMR,Stock Option,"$1,001 - $15,000",Kelly Loeffler
03/09/2020,Spouse,CR,Stock Option,"$15,001 - $50,000",Kelly Loeffler
03/09/2020,Spouse,HIG,Stock Option,"$1,001 - $15,000",Kelly Loeffler
03/04/2020,Spouse,AMGN,Stock Option,"$15,001 - $50,000",Kelly Loeffler
03/04/2020,Spouse,AIG,Stock Option,"$1,001 - $15,000",Kelly Loeffler
03/04/2020,Spouse,PANW,Stock Option,"$1,001 - $15,000",Kelly Loeffler
03/04/2020,Spouse,CVX,Stock Option,"$15,001 - $50,000",Kelly Loeffler
03/04/2020,Spouse,BP,Stock Option,"$1,001 - $15,000",Kelly Loeffler
03/03/2020,Spouse,DD,Stock,"$50,001 - $100,000",Kelly Loeffler
03/02/2020,Spouse,DD,Stock,"$15,001 - $50,000",Kelly Loeffler
02/28/2020,Spouse,DD,Stock,"$100,001 - $250,000",Kelly Loeffler
03/11/2020,Joint,BKNG,Stock,"$1,001 - $15,000",Kelly Loeffler
03/10/2020,Joint,BKNG,Stock,"$15,001 - $50,000",Kelly Loeffler
03/09/2020,Joint,HELE,Stock,"$50,001 - $100,000",Kelly Loeffler
03/06/2020,Joint,BKNG,Stock,"$15,001 - $50,000",Kelly Loeffler
03/09/2020,Joint,TJX,Stock,"$15,001 - $50,000",Kelly Loeffler
03/03/2020,Joint,ROST,Stock,"$15,001 - $50,000",Kelly Loeffler
03/03/2020,Joint,LULU,Stock,"$50,001 - $100,000",Kelly Loeffler
03/03/2020,Joint,FB,Stock,"$50,001 - $100,000",Kelly Loeffler
03/02/2020,Joint,ROST,Stock,"$15,001 - $50,000",Kelly Loeffler
02/26/2020,Joint,CME,Stock,"$100,001 - $250,000",Kelly Loeffler
02/26/2020,Joint,NVDA,Stock,"$15,001 - $50,000",Kelly Loeffler
02/26/2020,Joint,AZO,Stock,"$15,001 - $50,000",Kelly Loeffler
02/26/2020,Joint,ADP,Stock,"$50,001 - $100,000",Kelly Loeffler
02/26/2020,Joint,ARNA,Stock,"$15,001 - $50,000",Kelly Loeffler
02/27/2020,Joint,AMZN,Stock,"$15,001 - $50,000",Kelly Loeffler
02/24/2020,Joint,CME,Stock,"$50,001 - $100,000",Kelly Loeffler
02/24/2020,Joint,AMZN,Stock,"$15,001 - $50,000",Kelly Loeffler
02/24/2020,Joint,NVDA,Stock,"$15,001 - $50,000",Kelly Loeffler
02/24/2020,Joint,IPHI,Stock,"$15,001 - $50,000",Kelly Loeffler
02/24/2020,Joint,FB,Stock,"$15,001 - $50,000",Kelly Loeffler
02/24/2020,Joint,ARNA,Stock,"$50,001 - $100,000",Kelly Loeffler
03/11/2020,Spouse,ICE,Stock,"$5,000,001 - $25,000,000",Kelly Loeffler
02/26/2020,Spouse,ICE,Stock,"$1,000,001 - $5,000,000",Kelly Loeffler
02/26/2020,Spouse,ICE,Stock,"$1,000,001 - $5,000,000",Kelly Loeffler
03/11/2020,Self,ICE,Stock,"$5,000,001 - $25,000,000",Kelly Loeffler
02/18/2020,Self,ICE,Stock,"$5,000,001 - $25,000,000",Kelly Loeffler
02/13/2020,Self,WM,Stock,"$15,001 - $50,000",Sheldon Whitehouse
02/13/2020,Self,DLR,Stock,"$15,001 - $50,000",Sheldon Whitehouse
03/26/2020,Spouse,MSFT,Stock,"$1,001 - $15,000",Pat Roberts
03/24/2020,Spouse,MSFT,Stock,"$1,001 - $15,000",Pat Roberts
03/24/2020,Spouse,DIS,Stock,"$1,001 - $15,000",Pat Roberts
03/26/2020,Spouse,XOM,Stock,"$1,001 - $15,000",Pat Roberts
03/26/2020,Spouse,CVX,Stock,"$1,001 - $15,000",Pat Roberts
03/26/2020,Spouse,BA,Stock,"$15,001 - $50,000",Pat Roberts
03/24/2020,Spouse,WMT,Stock,"$1,001 - $15,000",Pat Roberts
03/24/2020,Spouse,AAPL,Stock,"$15,001 - $50,000",Pat Roberts
03/24/2020,Spouse,--,Stock,"$15,001 - $50,000",Pat Roberts
03/20/2020,Spouse,V,Stock,"$15,001 - $50,000",Pat Roberts
03/09/2020,Spouse,WMT,Stock,"$1,001 - $15,000",Pat Roberts
03/06/2020,Spouse,NFLX,Stock,"$100,001 - $250,000",Pat Roberts
03/02/2020,Spouse,NVDA,Stock,"$15,001 - $50,000",Pat Roberts
03/02/2020,Spouse,NFLX,Stock,"$50,001 - $100,000",Pat Roberts
03/20/2020,Spouse,AAPL,Stock,"$15,001 - $50,000",Pat Roberts
03/06/2020,Spouse,NFLX,Stock,"$100,001 - $250,000",Pat Roberts
03/06/2020,Spouse,NVDA,Stock,"$50,001 - $100,000",Pat Roberts
03/06/2020,Spouse,AAPL,Stock,"$15,001 - $50,000",Pat Roberts
