senator,ticker,owner,type,transaction_date
Sheldon Whitehouse,--,Joint,Exchange,3/4/2020
Sheldon Whitehouse,--,Self,Exchange,3/4/2020
Sheldon Whitehouse,ILMN,Self,Sale (Full),3/11/2020
Sheldon Whitehouse,CGNX,Self,Sale (Full),3/11/2020
Sheldon Whitehouse,SIEGY,Self,Sale (Full),3/11/2020
Daniel S Sullivan,WCMIX,Joint,Purchase,2/27/2020
Daniel S Sullivan,RPM,Joint,Sale (Partial),2/27/2020
James M Inhofe,BAM,Self,Sale (Partial),3/20/2020
James M Inhofe,C,Self,Sale (Full),3/9/2020
Mark R Warner,--,Self,Sale (Full),3/25/2020
Mark R Warner,--,Self,Purchase,3/9/2020
"David A Perdue , Jr",MU,Joint,Purchase,3/31/2020
"David A Perdue , Jr",MRK,Joint,Sale (Partial),3/31/2020
"David A Perdue , Jr",NWS,Joint,Purchase,3/23/2020
"David A Perdue , Jr",WPX,Joint,Purchase,3/2/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/2/2020
"David A Perdue , Jr",DD,Joint,Purchase,3/2/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),3/2/2020
"David A Perdue , Jr",CZR,Joint,Sale (Full),3/2/2020
"David A Perdue , Jr",BAC,Joint,Sale (Partial),3/2/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/3/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/3/2020
"David A Perdue , Jr",BAC,Joint,Sale (Partial),3/4/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/4/2020
"David A Perdue , Jr",URBN,Joint,Purchase,3/4/2020
"David A Perdue , Jr",URBN,Joint,Purchase,3/4/2020
"David A Perdue , Jr",URBN,Joint,Purchase,3/4/2020
"David A Perdue , Jr",GM,Joint,Purchase,3/4/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/4/2020
"David A Perdue , Jr",URBN,Joint,Purchase,3/5/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/5/2020
"David A Perdue , Jr",BRK-B,Joint,Purchase,3/5/2020
"David A Perdue , Jr",BRK-B,Joint,Purchase,3/5/2020
"David A Perdue , Jr",URBN,Joint,Purchase,3/5/2020
"David A Perdue , Jr",--,Joint,Purchase,3/5/2020
"David A Perdue , Jr",BRK-B,Joint,Purchase,3/6/2020
"David A Perdue , Jr",BAC,Joint,Sale (Partial),3/6/2020
"David A Perdue , Jr",BRK-B,Joint,Purchase,3/6/2020
"David A Perdue , Jr",--,Joint,Purchase,3/6/2020
"David A Perdue , Jr",BRK-B,Joint,Purchase,3/9/2020
"David A Perdue , Jr",MSM,Joint,Purchase,3/10/2020
"David A Perdue , Jr",M,Joint,Purchase,3/10/2020
"David A Perdue , Jr",NWSA,Joint,Purchase,3/10/2020
"David A Perdue , Jr",FOXA,Joint,Purchase,3/10/2020
"David A Perdue , Jr",EAF,Joint,Purchase,3/10/2020
"David A Perdue , Jr",GEL,Joint,Sale (Full),3/11/2020
"David A Perdue , Jr",ENB,Joint,Purchase,3/13/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/13/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/13/2020
"David A Perdue , Jr",TRP,Joint,Purchase,3/13/2020
"David A Perdue , Jr",ENB,Joint,Purchase,3/13/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/13/2020
"David A Perdue , Jr",TRP,Joint,Purchase,3/13/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/16/2020
"David A Perdue , Jr",AXTA,Joint,Purchase,3/16/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/16/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/16/2020
"David A Perdue , Jr",KR,Joint,Sale (Partial),3/16/2020
"David A Perdue , Jr",RF,Joint,Purchase,3/16/2020
"David A Perdue , Jr",FOX,Joint,Purchase,3/16/2020
"David A Perdue , Jr",LYV,Joint,Purchase,3/16/2020
"David A Perdue , Jr",HUN,Joint,Purchase,3/16/2020
